Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Cash,Capital,InOutCash,Bench
2017-08-03,QQQ,187.12781107635996,0.0,143.39,FBT,153.86386739267513,0.0,115.73,0.0,44638,0,151.095
2017-08-04,QQQ,187.12781107635996,0.0,143.65,FBT,153.86386739267513,0.0,116.54,0.0,44812,0,151.35500000000002
2017-08-07,QQQ,187.12781107635996,0.0,144.56,FBT,153.86386739267513,0.0,117.27,0.0,45094,0,152.26500000000001
2017-08-08,QQQ,187.12781107635996,0.0,144.31,FBT,153.86386739267513,0.0,115.39,0.0,44758,0,152.01500000000001
2017-08-09,QQQ,187.12781107635996,0.0,144.12,FBT,153.86386739267513,0.0,115.7,0.0,44770,0,151.82500000000002
2017-08-10,QQQ,187.12781107635996,0.0,141.03,FBT,153.86386739267513,0.0,111.75,0.0,43584,0,148.735
2017-08-11,QQQ,187.12781107635996,0.0,142.1,FBT,153.86386739267513,0.0,113.09,0.0,43991,0,149.805
2017-08-14,QQQ,187.12781107635996,0.0,143.93,FBT,153.86386739267513,0.0,113.87,0.0,44453,0,151.63500000000002
2017-08-15,QQQ,187.12781107635996,0.0,144.03,FBT,153.86386739267513,0.0,114.06,0.0,44501,0,151.735
2017-08-16,QQQ,187.12781107635996,0.0,144.28,FBT,153.86386739267513,0.0,114.1,0.0,44554,0,151.985
2017-08-17,QQQ,187.12781107635996,0.0,141.33,FBT,153.86386739267513,0.0,112.14,0.0,43701,0,149.03500000000003
2017-08-18,QQQ,187.12781107635996,0.0,141.23,FBT,153.86386739267513,0.0,111.76,0.0,43623,0,148.935
2017-08-21,QQQ,187.12781107635996,0.0,141.05,FBT,153.86386739267513,0.0,112.2,0.0,43657,0,148.75500000000002
2017-08-22,QQQ,187.12781107635996,0.0,143.2,FBT,153.86386739267513,0.0,114.56,0.0,44423,0,150.905
2017-08-23,QQQ,187.12781107635996,0.0,142.69,FBT,153.86386739267513,0.0,113.75,0.0,44203,0,150.395
2017-08-24,QQQ,187.12781107635996,0.0,142.27,FBT,153.86386739267513,0.0,115.3,0.0,44363,0,149.97500000000002
2017-08-25,QQQ,187.12781107635996,0.0,141.97,FBT,153.86386739267513,0.0,114.56,0.0,44193,0,149.675
2017-08-28,QQQ,187.12781107635996,0.0,142.41,FBT,153.86386739267513,0.0,117.95,0.0,44797,0,150.115
2017-08-29,QQQ,187.12781107635996,0.0,142.97,FBT,153.86386739267513,0.0,119.39,0.0,45123,0,150.675
2017-08-30,QQQ,187.12781107635996,0.0,144.65,FBT,153.86386739267513,0.0,120.95,0.0,45677,0,152.35500000000002
2017-08-31,DIA,127.00002084621983,0.0,219.52,XLP,339.71905899180143,0.0,54.71,0.0,46465,0,153.905
2017-09-01,DIA,127.00002084621983,0.0,219.92,XLP,339.71905899180143,0.0,54.97,0.0,46604,0,153.705
2017-09-05,DIA,127.00002084621983,0.0,217.67,XLP,339.71905899180143,0.0,55.05,0.0,46345,0,152.395
2017-09-06,DIA,127.00002084621983,0.0,218.25,XLP,339.71905899180143,0.0,55.28,0.0,46497,0,152.835
2017-09-07,DIA,127.00002084621983,0.0,218.11,XLP,339.71905899180143,0.0,55.36,0.0,46506,0,153.175
2017-09-08,DIA,127.00002084621983,0.0,218.24,XLP,339.71905899180143,0.0,55.09,0.0,46431,0,151.91500000000002
2017-09-11,DIA,127.00002084621983,0.0,220.76,XLP,339.71905899180143,0.0,55.43,0.0,46867,0,153.57500000000002
2017-09-12,DIA,127.00002084621983,0.0,221.42,XLP,339.71905899180143,0.0,55.55,0.0,46991,0,153.925
2017-09-13,DIA,127.00002084621983,0.0,221.76,XLP,339.71905899180143,0.0,55.58,0.0,47045,0,154.125
2017-09-14,DIA,127.00002084621983,0.0,222.32,XLP,339.71905899180143,0.0,55.47,0.0,47078,0,153.26500000000001
2017-09-15,DIA,127.00002084621983,0.45799999999999996,222.45,XLP,339.71905899180143,0.34600000000000003,55.22,0.0,47010,0,153.76500000000001
2017-09-18,DIA,127.00002084621983,0.0,223.16,XLP,339.71905899180143,0.0,55.3,0.0,47127,0,153.574
2017-09-19,DIA,127.00002084621983,0.0,223.58,XLP,339.71905899180143,0.0,55.13,0.0,47123,0,153.824
2017-09-20,DIA,127.00002084621983,0.0,223.9,XLP,339.71905899180143,0.0,54.6,0.0,46983,0,153.374
