Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Ticker_3,Shares_3,Dividend_3,Price_3,Ticker_4,Shares_4,Dividend_4,Price_4,Ticker_5,Shares_5,Dividend_5,Price_5,Ticker_6,Shares_6,Dividend_6,Price_6,Ticker_7,Shares_7,Dividend_7,Price_7,Cash,Capital,InOutCash,Bench
2017-07-11,FBT,11.848689078476033,0.0,114.22,FDN,19.01659985235954,0.0,96.35,IGV,13.17175515435402,0.0,138.53,IHI,8.110104450569635,0.0,166.2,ITA,17.174763298498977,0.0,161.62,TLT,23.39876189874026,0.0,123.11,0,0.0,0.0,0.0,-675.612251254704,11338,0,146.75500000000002
2017-07-12,FBT,11.848689078476033,0.0,115.03,FDN,19.01659985235954,0.0,98.11,IGV,13.17175515435402,0.0,141.41,IHI,8.110104450569635,0.0,167.74,ITA,17.174763298498977,0.0,162.41,TLT,23.39876189874026,0.0,123.96,0,0.0,0.0,0.0,-675.612251254704,11465,0,148.405
2017-07-13,FBT,11.848689078476033,0.0,115.77,FDN,19.01659985235954,0.0,98.12,IGV,13.17175515435402,0.0,140.8,IHI,8.110104450569635,0.0,167.06,ITA,17.174763298498977,0.0,162.15,TLT,23.39876189874026,0.0,123.18,0,0.0,0.0,0.0,-675.612251254704,11438,0,148.715
2017-07-14,FBT,11.848689078476033,0.0,115.46,FDN,19.01659985235954,0.0,98.67,IGV,13.17175515435402,0.0,141.51,IHI,8.110104450569635,0.0,169.03,ITA,17.174763298498977,0.0,163.03,TLT,23.39876189874026,0.0,123.33,0,0.0,0.0,0.0,-675.612251254704,11489,0,149.82500000000002
2017-07-17,FBT,11.848689078476033,0.0,115.13,FDN,19.01659985235954,0.0,98.87,IGV,13.17175515435402,0.0,141.54,IHI,8.110104450569635,0.0,168.19,ITA,17.174763298498977,0.0,163.12,TLT,23.39876189874026,0.0,123.67,0,0.0,0.0,0.0,-675.612251254704,11492,0,149.895
2017-07-18,FBT,11.848689078476033,0.0,115.45,FDN,19.01659985235954,0.0,100.4,IGV,13.17175515435402,0.0,142.07,IHI,8.110104450569635,0.0,167.94,ITA,17.174763298498977,0.0,162.43,TLT,23.39876189874026,0.0,124.75,0,0.0,0.0,0.0,-675.612251254704,11543,0,150.845
2017-07-19,FBT,11.848689078476033,0.0,116.98,FDN,19.01659985235954,0.0,100.97,IGV,13.17175515435402,0.0,143.35,IHI,8.110104450569635,0.0,168.95,ITA,17.174763298498977,0.0,163.73,TLT,23.39876189874026,0.0,124.8,0,0.0,0.0,0.0,-675.612251254704,11621,0,151.685
2017-07-20,FBT,11.848689078476033,0.0,118.53,FDN,19.01659985235954,0.0,100.69,IGV,13.17175515435402,0.0,143.42,IHI,8.110104450569635,0.0,169.47,ITA,17.174763298498977,0.0,163.51,TLT,23.39876189874026,0.0,125.16,0,0.0,0.0,0.0,-675.612251254704,11643,0,151.875
2017-07-21,FBT,11.848689078476033,0.0,118.93,FDN,19.01659985235954,0.0,100.56,IGV,13.17175515435402,0.0,142.85,IHI,8.110104450569635,0.0,168.41,ITA,17.174763298498977,0.0,164.02,TLT,23.39876189874026,0.0,125.69,0,0.0,0.0,0.0,-675.612251254704,11651,0,151.81500000000003
2017-07-24,FBT,11.848689078476033,0.0,120.38,FDN,19.01659985235954,0.0,101.11,IGV,13.17175515435402,0.0,143.59,IHI,8.110104450569635,0.0,169.22,ITA,17.174763298498977,0.0,164.34,TLT,23.39876189874026,0.0,125.2,0,0.0,0.0,0.0,-675.612251254704,11689,0,152.47500000000002
2017-07-25,FBT,11.848689078476033,0.0,118.93,FDN,19.01659985235954,0.0,101.26,IGV,13.17175515435402,0.0,144.24,IHI,8.110104450569635,0.0,168.74,ITA,17.174763298498977,0.0,164.44,TLT,23.39876189874026,0.0,123.57,0,0.0,0.0,0.0,-675.612251254704,11643,0,152.10500000000002
2017-07-26,FBT,11.848689078476033,0.0,119.27,FDN,19.01659985235954,0.0,101.0,IGV,13.17175515435402,0.0,145.15,IHI,8.110104450569635,0.0,167.34,ITA,17.174763298498977,0.0,164.46,TLT,23.39876189874026,0.0,123.77,0,0.0,0.0,0.0,-675.612251254704,11647,0,152.57500000000002
2017-07-27,FBT,11.848689078476033,0.0,116.84,FDN,19.01659985235954,0.0,100.16,IGV,13.17175515435402,0.0,142.75,IHI,8.110104450569635,0.0,165.54,ITA,17.174763298498977,0.0,164.17,TLT,23.39876189874026,0.0,123.16,0,0.0,0.0,0.0,-675.612251254704,11537,0,151.66500000000002
2017-07-28,FBT,11.848689078476033,0.0,117.75,FDN,19.01659985235954,0.0,100.12,IGV,13.17175515435402,0.0,142.6,IHI,8.110104450569635,0.0,165.46,ITA,17.174763298498977,0.0,165.67,TLT,23.39876189874026,0.0,123.89,0,0.0,0.0,0.0,-675.612251254704,11587,0,151.54500000000002
