Date,On_Price_QQQ,On_Shares_QQQ,On_Dividend_QQQ,Off_Price_IEI,Off_Shares_IEI,Off_Dividend_IEI,Cash,Capital,InOutCash,Bench
2018-02-21,164.82,113.15877393916739,0.0,119.8,94.48882874470041,0.0,0.0,29970,0,286.48154
2018-02-22,164.8,113.15877393916739,0.0,119.95,94.48882874470041,0.0,0.0,29982,0,288.25154
2018-02-23,168.17,113.15877393916739,0.0,120.14,94.48882874470041,0.0,0.0,30381,0,291.67154
2018-02-26,170.4,113.15877393916739,0.0,120.22,94.48882874470041,0.0,0.0,30641,0,295.68154
2018-02-27,168.29,113.15877393916739,0.0,119.97,94.48882874470041,0.0,0.0,30379,0,292.72154
2018-02-28,167.21,41.00623701086559,0.0,120.06,195.08552214703408,0.0,0.0,30278,0,288.96153999999996
2018-03-01,164.48,41.00623701086559,0.0,120.26,195.08552214703408,0.163,0.0,30205,0,284.74154
2018-03-02,165.99,41.00623701086559,0.0,120.02,195.08552214703408,0.0,0.0,30220,0,284.11154
2018-03-05,167.83,41.00623701086559,0.0,119.98,195.08552214703408,0.0,0.0,30288,0,287.60154
2018-03-06,168.54,41.00623701086559,0.0,119.94,195.08552214703408,0.0,0.0,30309,0,287.60154
2018-03-07,168.93,41.00623701086559,0.0,119.94,195.08552214703408,0.0,0.0,30325,0,286.87154
2018-03-08,169.86,41.00623701086559,0.0,120.08,195.08552214703408,0.0,0.0,30391,0,287.90153999999995
2018-03-09,173.16,41.00623701086559,0.0,119.96,195.08552214703408,0.0,0.0,30503,0,292.32153999999997
2018-03-12,174.08,41.00623701086559,0.0,120.08,195.08552214703408,0.0,0.0,30564,0,290.72154
2018-03-13,171.71,41.00623701086559,0.0,120.15,195.08552214703408,0.0,0.0,30480,0,288.98154
2018-03-14,171.68,41.00623701086559,0.0,120.25,195.08552214703408,0.0,0.0,30498,0,286.64153999999996
2018-03-15,171.53,41.00623701086559,0.0,120.23,195.08552214703408,0.0,0.0,30488,0,287.76153999999997
2018-03-16,171.02,41.00623701086559,0.0,120.13,195.08552214703408,0.0,0.0,30448,0,288.31554
2018-03-19,167.1,41.00623701086559,0.27699999999999997,120.08,195.08552214703408,0.0,0.0,30278,0,285.12554
2018-03-20,167.65,41.00623701086559,0.0,119.9,195.08552214703408,0.0,0.0,30265,0,286.31554
2018-03-21,166.92,41.00623701086559,0.0,120.0,195.08552214703408,0.0,0.0,30255,0,285.83554
2018-03-22,162.8,41.00623701086559,0.0,120.24,195.08552214703408,0.0,0.0,30132,0,278.57554
2018-03-23,158.51,41.00623701086559,0.0,120.37,195.08552214703408,0.0,0.0,29982,0,274.34553999999997
2018-03-26,164.4,41.00623701086559,0.0,120.18,195.08552214703408,0.0,0.0,30186,0,281.03553999999997
2018-03-27,159.08,41.00623701086559,0.0,120.54,195.08552214703408,0.0,0.0,30038,0,277.50554
2018-03-28,157.25,41.00623701086559,0.0,120.49,195.08552214703408,0.0,0.0,29954,0,277.49554
2018-03-29,160.13,48.70942895928842,0.0,120.62,185.17199018123102,0.0,0.0,30135,0,280.61554
2018-04-02,155.51,48.70942895928842,0.0,120.53,185.17199018123102,0.17800000000000002,0.0,29893,0,275.36554
2018-04-03,157.26,48.70942895928842,0.0,120.31,185.17199018123102,0.0,0.0,29938,0,279.36554
2018-04-04,159.74,48.70942895928842,0.0,120.26,185.17199018123102,0.0,0.0,30049,0,281.67554
2018-04-05,160.65,48.70942895928842,0.0,120.12,185.17199018123102,0.0,0.0,30068,0,284.12554
2018-04-06,156.63,48.70942895928842,0.0,120.43,185.17199018123102,0.0,0.0,29929,0,278.34553999999997
2018-04-09,157.73,48.70942895928842,0.0,120.42,185.17199018123102,0.0,0.0,29981,0,278.94554
2018-04-10,161.21,48.70942895928842,0.0,120.26,185.17199018123102,0.0,0.0,30121,0,283.22553999999997
2018-04-11,160.28,48.70942895928842,0.0,120.29,185.17199018123102,0.0,0.0,30081,0,281.09553999999997
2018-04-12,162.21,48.70942895928842,0.0,120.05,185.17199018123102,0.0,0.0,30131,0,284.02554
2018-04-13,161.37,48.70942895928842,0.0,120.04,185.17199018123102,0.0,0.0,30088,0,282.79554
2018-04-16,162.6,48.70942895928842,0.0,120.01,185.17199018123102,0.0,0.0,30142,0,284.83554
