Date,On_Price_QQQ,On_Shares_QQQ,On_Dividend_QQQ,Off_Price_IEF,Off_Shares_IEF,Off_Dividend_IEF,Cash,Capital,InOutCash,Bench
2002-12-30,24.63,57.680051298452085,0.0,86.59,104.59931083856554,0.0,0.0,10477,0,24.63
2002-12-31,24.37,86.04736570372435,0.0,86.15,97.58483617105446,0.41600000000000004,0.0,10503,0,24.37
2003-01-02,25.4,86.04736570372435,0.0,84.79,97.58483617105446,0.0,0.0,10459,0,25.4
2003-01-03,25.68,86.04736570372435,0.0,84.93,97.58483617105446,0.0,0.0,10497,0,25.68
2003-01-06,26.32,86.04736570372435,0.0,84.72,97.58483617105446,0.0,0.0,10532,0,26.32
2003-01-07,26.65,86.04736570372435,0.0,84.99,97.58483617105446,0.0,0.0,10586,0,26.65
2003-01-08,25.9,86.04736570372435,0.0,85.19,97.58483617105446,0.0,0.0,10541,0,25.9
2003-01-09,26.7,86.04736570372435,0.0,84.16,97.58483617105446,0.0,0.0,10510,0,26.7
2003-01-10,27.1,86.04736570372435,0.0,84.25,97.58483617105446,0.0,0.0,10553,0,27.1
2003-01-13,26.94,86.04736570372435,0.0,84.4,97.58483617105446,0.0,0.0,10554,0,26.94
2003-01-14,27.08,86.04736570372435,0.0,84.6,97.58483617105446,0.0,0.0,10585,0,27.08
2003-01-15,26.74,86.04736570372435,0.0,84.79,97.58483617105446,0.0,0.0,10575,0,26.74
2003-01-16,26.44,86.04736570372435,0.0,84.76,97.58483617105446,0.0,0.0,10546,0,26.44
2003-01-17,25.31,86.04736570372435,0.0,85.11,97.58483617105446,0.0,0.0,10483,0,25.31
2003-01-21,25.03,86.04736570372435,0.0,85.4,97.58483617105446,0.0,0.0,10487,0,25.03
2003-01-22,24.93,86.04736570372435,0.0,85.75,97.58483617105446,0.0,0.0,10513,0,24.93
2003-01-23,25.51,86.04736570372435,0.0,85.57,97.58483617105446,0.0,0.0,10545,0,25.51
2003-01-24,24.82,86.04736570372435,0.0,85.74,97.58483617105446,0.0,0.0,10502,0,24.82
2003-01-27,24.53,86.04736570372435,0.0,85.48,97.58483617105446,0.0,0.0,10452,0,24.53
2003-01-28,24.78,86.04736570372435,0.0,85.49,97.58483617105446,0.0,0.0,10474,0,24.78
2003-01-29,25.15,86.04736570372435,0.0,85.12,97.58483617105446,0.0,0.0,10470,0,25.15
2003-01-30,24.5,86.04736570372435,0.0,85.45,97.58483617105446,0.0,0.0,10446,0,24.5
2003-01-31,24.44,74.60662696319865,0.0,85.49,100.84266345867228,0.0,0.0,10444,0,24.44
2003-02-03,24.49,74.60662696319865,0.0,85.08,100.84266345867228,0.278,0.0,10406,0,24.49
2003-02-04,24.19,74.60662696319865,0.0,85.36,100.84266345867228,0.0,0.0,10412,0,24.19
2003-02-05,24.08,74.60662696319865,0.0,85.03,100.84266345867228,0.0,0.0,10371,0,24.08
2003-02-06,24.21,74.60662696319865,0.0,85.36,100.84266345867228,0.0,0.0,10414,0,24.21
2003-02-07,23.81,74.60662696319865,0.0,85.4,100.84266345867228,0.0,0.0,10388,0,23.81
2003-02-10,24.02,74.60662696319865,0.0,85.24,100.84266345867228,0.0,0.0,10387,0,24.02
2003-02-11,24.15,74.60662696319865,0.0,85.32,100.84266345867228,0.0,0.0,10405,0,24.15
2003-02-12,23.82,74.60662696319865,0.0,85.69,100.84266345867228,0.0,0.0,10418,0,23.82
2003-02-13,23.94,74.60662696319865,0.0,86.0,100.84266345867228,0.0,0.0,10458,0,23.94
2003-02-14,24.49,74.60662696319865,0.0,85.7,100.84266345867228,0.0,0.0,10469,0,24.49
2003-02-18,25.25,74.60662696319865,0.0,85.7,100.84266345867228,0.0,0.0,10526,0,25.25
2003-02-19,25.08,74.60662696319865,0.0,86.02,100.84266345867228,0.0,0.0,10545,0,25.08
2003-02-20,24.98,74.60662696319865,0.0,86.32,100.84266345867228,0.0,0.0,10568,0,24.98
2003-02-21,25.17,74.60662696319865,0.0,86.0,100.84266345867228,0.0,0.0,10550,0,25.17
2003-02-24,24.74,74.60662696319865,0.0,86.34,100.84266345867228,0.0,0.0,10552,0,24.74
2003-02-25,24.77,74.60662696319865,0.0,86.46,100.84266345867228,0.0,0.0,10566,0,24.77
2003-02-26,24.22,74.60662696319865,0.0,86.72,100.84266345867228,0.0,0.0,10552,0,24.22
2003-02-27,24.77,74.60662696319865,0.0,86.8,100.84266345867228,0.0,0.0,10601,0,24.77
2003-02-28,25.16,108.95711089856609,0.0,87.09,91.19600665058313,0.0,0.0,10683,0,25.16
2003-03-03,24.65,108.95711089856609,0.0,87.03,91.19600665058313,0.24,0.0,10622,0,24.65
2003-03-04,24.5,108.95711089856609,0.0,87.2,91.19600665058313,0.0,0.0,10621,0,24.5
2003-03-05,24.55,108.95711089856609,0.0,87.36,91.19600665058313,0.0,0.0,10641,0,24.55
2003-03-06,24.49,108.95711089856609,0.0,87.18,91.19600665058313,0.0,0.0,10618,0,24.49
2003-03-07,24.54,108.95711089856609,0.0,87.47,91.19600665058313,0.0,0.0,10650,0,24.54
2003-03-10,24.01,108.95711089856609,0.0,87.76,91.19600665058313,0.0,0.0,10619,0,24.01
2003-03-11,23.8,108.95711089856609,0.0,87.74,91.19600665058313,0.0,0.0,10594,0,23.8
2003-03-12,24.23,108.95711089856609,0.0,87.54,91.19600665058313,0.0,0.0,10623,0,24.23
2003-03-13,25.62,108.95711089856609,0.0,86.57,91.19600665058313,0.0,0.0,10686,0,25.62
2003-03-14,25.72,108.95711089856609,0.0,86.85,91.19600665058313,0.0,0.0,10722,0,25.72
2003-03-17,26.6,108.95711089856609,0.0,86.17,91.19600665058313,0.0,0.0,10756,0,26.6
2003-03-18,26.93,108.95711089856609,0.0,85.7,91.19600665058313,0.0,0.0,10749,0,26.93
2003-03-19,26.7,108.95711089856609,0.0,85.29,91.19600665058313,0.0,0.0,10687,0,26.7
2003-03-20,26.8,108.95711089856609,0.0,85.35,91.19600665058313,0.0,0.0,10703,0,26.8
2003-03-21,27.17,108.95711089856609,0.0,84.57,91.19600665058313,0.0,0.0,10672,0,27.17
2003-03-24,26.04,108.95711089856609,0.0,85.39,91.19600665058313,0.0,0.0,10624,0,26.04
2003-03-25,26.41,108.95711089856609,0.0,85.4,91.19600665058313,0.0,0.0,10665,0,26.41
2003-03-26,26.56,108.95711089856609,0.0,85.6,91.19600665058313,0.0,0.0,10700,0,26.56
2003-03-27,26.37,108.95711089856609,0.0,85.76,91.19600665058313,0.0,0.0,10694,0,26.37
2003-03-28,26.08,108.95711089856609,0.0,85.9,91.19600665058313,0.0,0.0,10675,0,26.08
2003-03-31,25.25,73.66045564198495,0.0,86.52,101.71194380575187,0.0,0.0,10660,0,25.25
2003-04-01,25.45,73.66045564198495,0.0,86.16,101.71194380575187,0.249,0.0,10638,0,25.45
2003-04-02,26.15,73.66045564198495,0.0,85.55,101.71194380575187,0.0,0.0,10627,0,26.15
2003-04-03,26.48,73.66045564198495,0.0,85.7,101.71194380575187,0.0,0.0,10667,0,26.48
2003-04-04,26.05,73.66045564198495,0.0,85.55,101.71194380575187,0.0,0.0,10620,0,26.05
2003-04-07,26.09,73.66045564198495,0.0,85.35,101.71194380575187,0.0,0.0,10602,0,26.09
2003-04-08,26.06,73.66045564198495,0.0,85.67,101.71194380575187,0.0,0.0,10633,0,26.06
2003-04-09,25.46,73.66045564198495,0.0,85.96,101.71194380575187,0.0,0.0,10618,0,25.46
2003-04-10,25.77,73.66045564198495,0.0,85.73,101.71194380575187,0.0,0.0,10617,0,25.77
2003-04-11,25.51,73.66045564198495,0.0,85.51,101.71194380575187,0.0,0.0,10576,0,25.51
2003-04-14,26.03,73.66045564198495,0.0,85.27,101.71194380575187,0.0,0.0,10590,0,26.03
2003-04-15,26.28,73.66045564198495,0.0,85.57,101.71194380575187,0.0,0.0,10639,0,26.28
2003-04-16,26.22,73.66045564198495,0.0,85.76,101.71194380575187,0.0,0.0,10654,0,26.22
2003-04-17,26.82,73.66045564198495,0.0,85.65,101.71194380575187,0.0,0.0,10687,0,26.82
2003-04-21,26.92,73.66045564198495,0.0,85.49,101.71194380575187,0.0,0.0,10678,0,26.92
2003-04-22,27.43,73.66045564198495,0.0,85.51,101.71194380575187,0.0,0.0,10717,0,27.43
2003-04-23,27.63,73.66045564198495,0.0,85.47,101.71194380575187,0.0,0.0,10728,0,27.63
2003-04-24,27.48,73.66045564198495,0.0,85.97,101.71194380575187,0.0,0.0,10768,0,27.48
2003-04-25,26.95,73.66045564198495,0.0,86.11,101.71194380575187,0.0,0.0,10743,0,26.95
2003-04-28,27.48,73.66045564198495,0.0,86.02,101.71194380575187,0.0,0.0,10773,0,27.48
2003-04-29,27.73,73.66045564198495,0.0,85.87,101.71194380575187,0.0,0.0,10776,0,27.73
2003-04-30,27.45,104.0121001546166,0.0,86.39,92.31897013675234,0.0,0.0,10830,0,27.45
2003-05-01,27.69,104.0121001546166,0.0,86.12,92.31897013675234,0.342,0.0,10830,0,27.69
2003-05-02,28.28,104.0121001546166,0.0,85.65,92.31897013675234,0.0,0.0,10848,0,28.28
2003-05-05,28.25,104.0121001546166,0.0,85.92,92.31897013675234,0.0,0.0,10870,0,28.25
2003-05-06,28.61,104.0121001546166,0.0,86.45,92.31897013675234,0.0,0.0,10956,0,28.61
2003-05-07,28.29,104.0121001546166,0.0,87.05,92.31897013675234,0.0,0.0,10978,0,28.29
2003-05-08,27.77,104.0121001546166,0.0,87.14,92.31897013675234,0.0,0.0,10933,0,27.77
2003-05-09,28.41,104.0121001546166,0.0,87.28,92.31897013675234,0.0,0.0,11012,0,28.41
2003-05-12,28.84,104.0121001546166,0.0,87.65,92.31897013675234,0.0,0.0,11091,0,28.84
2003-05-13,28.66,104.0121001546166,0.0,87.73,92.31897013675234,0.0,0.0,11080,0,28.66
2003-05-14,28.6,104.0121001546166,0.0,88.21,92.31897013675234,0.0,0.0,11118,0,28.6
2003-05-15,28.92,104.0121001546166,0.0,88.12,92.31897013675234,0.0,0.0,11143,0,28.92
2003-05-16,28.7,104.0121001546166,0.0,88.59,92.31897013675234,0.0,0.0,11163,0,28.7
2003-05-19,27.69,104.0121001546166,0.0,88.57,92.31897013675234,0.0,0.0,11056,0,27.69
2003-05-20,27.77,104.0121001546166,0.0,89.16,92.31897013675234,0.0,0.0,11119,0,27.77
2003-05-21,27.69,104.0121001546166,0.0,88.88,92.31897013675234,0.0,0.0,11085,0,27.69
2003-05-22,28.09,104.0121001546166,0.0,89.3,92.31897013675234,0.0,0.0,11165,0,28.09
2003-05-23,28.1,104.0121001546166,0.0,89.2,92.31897013675234,0.0,0.0,11157,0,28.1
2003-05-27,29.1,104.0121001546166,0.0,88.87,92.31897013675234,0.0,0.0,11231,0,29.1
2003-05-28,29.19,104.0121001546166,0.0,88.89,92.31897013675234,0.0,0.0,11242,0,29.19
2003-05-29,29.31,104.0121001546166,0.0,89.36,92.31897013675234,0.0,0.0,11298,0,29.31
2003-05-30,29.79,92.84045136959398,0.0,89.31,96.35120836666965,0.0,0.0,11370,0,29.79
2003-06-02,29.58,92.84045136959398,0.0,88.72,96.35120836666965,0.244,0.0,11294,0,29.58
2003-06-03,29.86,92.84045136959398,0.0,89.31,96.35120836666965,0.0,0.0,11377,0,29.86
2003-06-04,30.42,92.84045136959398,0.0,89.57,96.35120836666965,0.0,0.0,11454,0,30.42
2003-06-05,30.64,92.84045136959398,0.0,89.25,96.35120836666965,0.0,0.0,11443,0,30.64
2003-06-06,30.13,92.84045136959398,0.0,89.15,96.35120836666965,0.0,0.0,11386,0,30.13
2003-06-09,29.73,92.84045136959398,0.0,89.64,96.35120836666965,0.0,0.0,11397,0,29.73
2003-06-10,30.18,92.84045136959398,0.0,90.14,96.35120836666965,0.0,0.0,11487,0,30.18
2003-06-11,30.52,92.84045136959398,0.0,89.95,96.35120836666965,0.0,0.0,11500,0,30.52
2003-06-12,30.65,92.84045136959398,0.0,90.3,96.35120836666965,0.0,0.0,11546,0,30.65
2003-06-13,29.96,92.84045136959398,0.0,90.63,96.35120836666965,0.0,0.0,11513,0,29.96
2003-06-16,30.88,92.84045136959398,0.0,90.16,96.35120836666965,0.0,0.0,11553,0,30.88
2003-06-17,30.76,92.84045136959398,0.0,89.67,96.35120836666965,0.0,0.0,11495,0,30.76
2003-06-18,30.92,92.84045136959398,0.0,89.13,96.35120836666965,0.0,0.0,11458,0,30.92
2003-06-19,30.42,92.84045136959398,0.0,89.26,96.35120836666965,0.0,0.0,11424,0,30.42
2003-06-20,30.38,92.84045136959398,0.0,89.12,96.35120836666965,0.0,0.0,11407,0,30.38
2003-06-23,29.91,92.84045136959398,0.0,89.46,96.35120836666965,0.0,0.0,11396,0,29.91
2003-06-24,29.68,92.84045136959398,0.0,89.88,96.35120836666965,0.0,0.0,11415,0,29.68
2003-06-25,29.52,92.84045136959398,0.0,89.2,96.35120836666965,0.0,0.0,11335,0,29.52
2003-06-26,30.22,92.84045136959398,0.0,88.32,96.35120836666965,0.0,0.0,11315,0,30.22
2003-06-27,29.83,92.84045136959398,0.0,88.24,96.35120836666965,0.0,0.0,11271,0,29.83
2003-06-30,29.95,98.65454228805906,0.0,88.45,94.60928301165882,0.0,0.0,11322,0,29.95
2003-07-01,30.35,98.65454228805906,0.0,88.02,94.60928301165882,0.6629999999999999,0.0,11321,0,30.35
2003-07-02,30.97,98.65454228805906,0.0,88.11,94.60928301165882,0.0,0.0,11391,0,30.97
2003-07-03,30.58,98.65454228805906,0.0,87.55,94.60928301165882,0.0,0.0,11299,0,30.58
2003-07-07,31.89,98.65454228805906,0.0,87.08,94.60928301165882,0.0,0.0,11384,0,31.89
2003-07-08,32.28,98.65454228805906,0.0,87.11,94.60928301165882,0.0,0.0,11425,0,32.28
2003-07-09,32.2,98.65454228805906,0.0,87.27,94.60928301165882,0.0,0.0,11433,0,32.2
2003-07-10,31.6,98.65454228805906,0.0,87.47,94.60928301165882,0.0,0.0,11392,0,31.6
2003-07-11,31.84,98.65454228805906,0.0,87.78,94.60928301165882,0.0,0.0,11445,0,31.84
2003-07-14,32.22,98.65454228805906,0.0,87.27,94.60928301165882,0.0,0.0,11435,0,32.22
2003-07-15,32.26,98.65454228805906,0.0,86.08,94.60928301165882,0.0,0.0,11326,0,32.26
2003-07-16,32.16,98.65454228805906,0.0,86.11,94.60928301165882,0.0,0.0,11319,0,32.16
2003-07-17,31.18,98.65454228805906,0.0,85.93,94.60928301165882,0.0,0.0,11205,0,31.18
2003-07-18,31.28,98.65454228805906,0.0,85.71,94.60928301165882,0.0,0.0,11194,0,31.28
2003-07-21,30.88,98.65454228805906,0.0,84.59,94.60928301165882,0.0,0.0,11049,0,30.88
2003-07-22,31.34,98.65454228805906,0.0,84.89,94.60928301165882,0.0,0.0,11123,0,31.34
2003-07-23,31.6,98.65454228805906,0.0,85.15,94.60928301165882,0.0,0.0,11173,0,31.6
2003-07-24,31.18,98.65454228805906,0.0,84.82,94.60928301165882,0.0,0.0,11100,0,31.18
2003-07-25,31.8,98.65454228805906,0.0,84.71,94.60928301165882,0.0,0.0,11151,0,31.8
2003-07-28,31.89,98.65454228805906,0.0,84.09,94.60928301165882,0.0,0.0,11101,0,31.89
2003-07-29,31.65,98.65454228805906,0.0,83.27,94.60928301165882,0.0,0.0,11000,0,31.65
2003-07-30,31.42,98.65454228805906,0.0,83.94,94.60928301165882,0.0,0.0,11041,0,31.42
2003-07-31,31.8,82.48623385003572,0.0,83.38,101.43952488623545,0.0,0.0,11081,0,31.8
2003-08-01,31.46,82.48623385003572,0.0,83.0,101.43952488623545,0.7170000000000001,0.0,11014,0,31.46
2003-08-04,31.45,82.48623385003572,0.0,83.61,101.43952488623545,0.0,0.0,11075,0,31.45
2003-08-05,30.21,82.48623385003572,0.0,83.05,101.43952488623545,0.0,0.0,10916,0,30.21
2003-08-06,30.19,82.48623385003572,0.0,83.9,101.43952488623545,0.0,0.0,11001,0,30.19
2003-08-07,30.31,82.48623385003572,0.0,84.2,101.43952488623545,0.0,0.0,11041,0,30.31
2003-08-08,30.07,82.48623385003572,0.0,84.19,101.43952488623545,0.0,0.0,11020,0,30.07
2003-08-11,30.4,82.48623385003572,0.0,83.84,101.43952488623545,0.0,0.0,11012,0,30.4
2003-08-12,30.86,82.48623385003572,0.0,83.69,101.43952488623545,0.0,0.0,11034,0,30.86
2003-08-13,30.87,82.48623385003572,0.0,82.76,101.43952488623545,0.0,0.0,10941,0,30.87
2003-08-14,30.9,82.48623385003572,0.0,82.93,101.43952488623545,0.0,0.0,10961,0,30.9
2003-08-15,31.17,82.48623385003572,0.0,82.9,101.43952488623545,0.0,0.0,10980,0,31.17
2003-08-18,31.97,82.48623385003572,0.0,83.15,101.43952488623545,0.0,0.0,11071,0,31.97
2003-08-19,32.37,82.48623385003572,0.0,83.81,101.43952488623545,0.0,0.0,11171,0,32.37
2003-08-20,32.29,82.48623385003572,0.0,83.41,101.43952488623545,0.0,0.0,11124,0,32.29
2003-08-21,32.64,82.48623385003572,0.0,83.1,101.43952488623545,0.0,0.0,11121,0,32.64
2003-08-22,32.44,82.48623385003572,0.0,83.16,101.43952488623545,0.0,0.0,11111,0,32.44
2003-08-25,32.51,82.48623385003572,0.0,82.8,101.43952488623545,0.0,0.0,11080,0,32.51
2003-08-26,32.54,82.48623385003572,0.0,83.1,101.43952488623545,0.0,0.0,11113,0,32.54
2003-08-27,32.8,82.48623385003572,0.0,82.9,101.43952488623545,0.0,0.0,11114,0,32.8
2003-08-28,33.09,82.48623385003572,0.0,83.48,101.43952488623545,0.0,0.0,11197,0,33.09
2003-08-29,33.39,99.87334076564493,0.0,83.25,95.23896543274472,0.0,0.0,11263,0,33.39
2003-09-02,33.87,99.87334076564493,0.0,82.15,95.23896543274472,0.764,0.0,11206,0,33.87
2003-09-03,33.85,99.87334076564493,0.0,82.36,95.23896543274472,0.0,0.0,11224,0,33.85
2003-09-04,34.16,99.87334076564493,0.0,82.89,95.23896543274472,0.0,0.0,11306,0,34.16
2003-09-05,33.94,99.87334076564493,0.0,83.94,95.23896543274472,0.0,0.0,11384,0,33.94
2003-09-08,34.5,99.87334076564493,0.0,83.55,95.23896543274472,0.0,0.0,11402,0,34.5
2003-09-09,34.09,99.87334076564493,0.0,83.95,95.23896543274472,0.0,0.0,11399,0,34.09
2003-09-10,33.27,99.87334076564493,0.0,84.52,95.23896543274472,0.0,0.0,11372,0,33.27
2003-09-11,33.64,99.87334076564493,0.0,84.22,95.23896543274472,0.0,0.0,11380,0,33.64
2003-09-12,33.82,99.87334076564493,0.0,84.56,95.23896543274472,0.0,0.0,11431,0,33.82
2003-09-15,33.49,99.87334076564493,0.0,84.71,95.23896543274472,0.0,0.0,11412,0,33.49
2003-09-16,34.4,99.87334076564493,0.0,84.64,95.23896543274472,0.0,0.0,11496,0,34.4
2003-09-17,34.26,99.87334076564493,0.0,85.11,95.23896543274472,0.0,0.0,11527,0,34.26
2003-09-18,34.78,99.87334076564493,0.0,85.1,95.23896543274472,0.0,0.0,11578,0,34.78
