Date,Ticker_1,Shares_1,Dividend_1,Price_1,Cash,Capital,InOutCash,Bench
2011-08-16,VUSTX,1056.305742802708,0.0,12.45,0.0,13151,0,55.696
2011-08-17,VUSTX,1056.305742802708,0.0,12.61,0.0,13320,0,55.376
2011-08-18,VUSTX,1056.305742802708,0.0,12.83,0.0,13552,0,52.746
2011-08-19,VUSTX,1056.305742802708,0.0,12.91,0.0,13636,0,51.826
2011-08-22,VUSTX,1056.305742802708,0.0,12.88,0.0,13605,0,52.006
2011-08-23,VUSTX,1056.305742802708,0.0,12.73,0.0,13446,0,54.076
2011-08-24,VUSTX,1056.305742802708,0.0,12.42,0.0,13119,0,54.486
2011-08-25,VUSTX,1056.305742802708,0.0,12.52,0.0,13224,0,53.626
2011-08-26,VUSTX,1056.305742802708,0.0,12.63,0.0,13341,0,54.926
2011-08-29,VUSTX,1056.305742802708,0.0,12.47,0.0,13172,0,56.406
2011-08-30,VUSTX,1056.305742802708,0.0,12.65,0.0,13362,0,56.766
2011-08-31,VUSTX,1058.6194172206438,0.0,12.5,0.0,13232,0,56.856
2011-09-01,VUSTX,1058.6194172206438,0.0,12.7,0.0,13444,0,56.356
2011-09-02,VUSTX,1058.6194172206438,0.0,13.04,0.0,13804,0,55.076
2011-09-06,VUSTX,1058.6194172206438,0.0,13.15,0.0,13920,0,55.086
2011-09-07,VUSTX,1058.6194172206438,0.0,12.95,0.0,13709,0,56.436
2011-09-08,VUSTX,1058.6194172206438,0.0,13.04,0.0,13804,0,56.186
2011-09-09,VUSTX,1058.6194172206438,0.0,13.18,0.0,13952,0,54.976
2011-09-12,VUSTX,1058.6194172206438,0.0,13.18,0.0,13952,0,55.656
2011-09-13,VUSTX,1058.6194172206438,0.0,13.03,0.0,13793,0,56.376
2011-09-14,VUSTX,1058.6194172206438,0.0,13.1,0.0,13867,0,57.156
2011-09-15,VUSTX,1058.6194172206438,0.0,12.94,0.0,13698,0,57.976
2011-09-16,VUSTX,1058.6194172206438,0.0,12.99,0.0,13751,0,58.49
2011-09-19,VUSTX,1058.6194172206438,0.0,13.22,0.0,13994,0,58.51
2011-09-20,VUSTX,1058.6194172206438,0.0,13.26,0.0,14037,0,58.26
2011-09-21,VUSTX,1058.6194172206438,0.0,13.59,0.0,14386,0,57.28
2011-09-22,VUSTX,1058.6194172206438,0.0,14.03,0.0,14852,0,55.48
2011-09-23,VUSTX,1058.6194172206438,0.0,13.81,0.0,14619,0,56.05
2011-09-26,VUSTX,1058.6194172206438,0.0,13.6,0.0,14397,0,56.68
2011-09-27,VUSTX,1058.6194172206438,0.0,13.39,0.0,14174,0,57.25
2011-09-28,VUSTX,1058.6194172206438,0.0,13.4,0.0,14185,0,56.43
2011-09-29,VUSTX,1058.6194172206438,0.0,13.48,0.0,14270,0,55.78
2011-09-30,VUSTX,1060.659644605284,0.0,13.74,0.0,14573,0,54.39
2011-10-03,VUSTX,1060.659644605284,0.0,14.07,0.0,14923,0,53.04
2011-10-04,VUSTX,1060.659644605284,0.0,13.94,0.0,14785,0,54.089999999999996
2011-10-05,VUSTX,1060.659644605284,0.0,13.83,0.0,14668,0,55.43
2011-10-06,VUSTX,1060.659644605284,0.0,13.61,0.0,14435,0,56.33
2011-10-07,VUSTX,1060.659644605284,0.0,13.5,0.0,14318,0,55.97
2011-10-10,VUSTX,1060.659644605284,0.0,13.31,0.0,14117,0,57.839999999999996
2011-10-11,VUSTX,1060.659644605284,0.0,13.3,0.0,14106,0,58.22
2011-10-12,VUSTX,1060.659644605284,0.0,13.14,0.0,13937,0,58.5
2011-10-13,VUSTX,1060.659644605284,0.0,13.24,0.0,14043,0,59.019999999999996
2011-10-14,VUSTX,1060.659644605284,0.0,13.08,0.0,13873,0,60.08
2011-10-17,VUSTX,1060.659644605284,0.0,13.26,0.0,14064,0,59.18
2011-10-18,VUSTX,1060.659644605284,0.0,13.2,0.0,14000,0,59.89
2011-10-19,VUSTX,1060.659644605284,0.0,13.2,0.0,14000,0,58.769999999999996
2011-10-20,VUSTX,1060.659644605284,0.0,13.12,0.0,13915,0,58.49
2011-10-21,VUSTX,1060.659644605284,0.0,13.01,0.0,13799,0,59.199999999999996
2011-10-24,VUSTX,1060.659644605284,0.0,13.01,0.0,13799,0,60.39
2011-10-25,VUSTX,1060.659644605284,0.0,13.29,0.0,14096,0,59.24
2011-10-26,VUSTX,1060.659644605284,0.0,13.1,0.0,13894,0,59.17
2011-10-27,VUSTX,1060.659644605284,0.0,12.71,0.0,13480,0,60.75
2011-10-28,VUSTX,1060.659644605284,0.0,12.83,0.0,13608,0,60.839999999999996
2011-10-31,VUSTX,1062.9235689648788,0.0,13.25,0.0,14083,0,59.85
2011-11-01,VUSTX,1062.9235689648788,0.0,13.62,0.0,14477,0,58.339999999999996
2011-11-02,VUSTX,1062.9235689648788,0.0,13.51,0.0,14360,0,58.82
2011-11-03,VUSTX,1062.9235689648788,0.0,13.35,0.0,14190,0,60.0
2011-11-04,VUSTX,1062.9235689648788,0.0,13.36,0.0,14200,0,59.699999999999996
2011-11-07,VUSTX,1062.9235689648788,0.0,13.45,0.0,14296,0,60.11
2011-11-08,VUSTX,1062.9235689648788,0.0,13.29,0.0,14126,0,60.78
2011-11-09,VUSTX,1062.9235689648788,0.0,13.53,0.0,14381,0,58.71
2011-11-10,VUSTX,1062.9235689648788,0.0,13.36,0.0,14200,0,58.68
2011-11-11,VUSTX,1062.9235689648788,0.0,13.28,0.0,14115,0,59.75
