Date,Ticker_1,Shares_1,Dividend_1,Price_1,Cash,Capital,InOutCash,Bench
2007-06-18,VEURX,2216.178179970954,0.0,40.75,0.0,90309,0,168.48000000000002
2007-06-19,VEURX,2216.178179970954,0.0,40.75,0.0,90309,0,168.73000000000002
2007-06-20,VEURX,2216.178179970954,0.0,40.44,0.0,89622,0,166.8
2007-06-21,VEURX,2216.178179970954,0.0,40.45,0.0,89644,0,167.70000000000002
2007-06-22,VEURX,2216.178179970954,0.0,40.19,0.0,89068,0,165.88
2007-06-25,VEURX,2216.178179970954,0.0,40.07,0.0,88802,0,165.44
2007-06-26,VEURX,2216.178179970954,0.0,39.94,0.0,88514,0,164.99
2007-06-27,VEURX,2216.178179970954,0.0,40.13,0.0,88935,0,166.26
2007-06-28,VEURX,2216.178179970954,0.0,40.25,0.0,89201,0,166.21
2007-06-29,VEURX,2216.164616469104,0.0,40.55,0.0,89865,0,165.99
2007-07-02,VEURX,2216.164616469104,0.0,40.99,0.0,90840,0,167.47
2007-07-03,VEURX,2216.164616469104,0.0,41.27,0.0,91461,0,168.0
2007-07-05,VEURX,2216.164616469104,0.0,41.16,0.0,91217,0,168.05
2007-07-06,VEURX,2216.164616469104,0.0,41.44,0.0,91837,0,168.55
2007-07-09,VEURX,2216.164616469104,0.0,41.6,0.0,92192,0,168.68
2007-07-10,VEURX,2216.164616469104,0.0,41.14,0.0,91173,0,166.68
2007-07-11,VEURX,2216.164616469104,0.0,41.41,0.0,91771,0,167.49
2007-07-12,VEURX,2216.164616469104,0.0,42.2,0.0,93522,0,170.16
2007-07-13,VEURX,2216.164616469104,0.0,42.15,0.0,93411,0,170.61
2007-07-16,VEURX,2216.164616469104,0.0,42.04,0.0,93167,0,170.33
2007-07-17,VEURX,2216.164616469104,0.0,41.87,0.0,92790,0,170.32
2007-07-18,VEURX,2216.164616469104,0.0,41.68,0.0,92369,0,170.07
2007-07-19,VEURX,2216.164616469104,0.0,41.95,0.0,92968,0,170.71
