Date,Open,High,Low,Close,Volume,Dividend,Momentum_1,Momentum_3,Momentum_6
2006-11-09,33.18,33.18,33.18,33.18,0,0.0,,,
2006-11-10,33.27,33.27,33.27,33.27,0,0.0,,,
2006-11-13,33.36,33.36,33.36,33.36,0,0.0,,,
2006-11-14,33.61,33.61,33.61,33.61,0,0.0,,,
2006-11-15,33.73,33.73,33.73,33.73,0,0.0,,,
2006-11-16,33.79,33.79,33.79,33.79,0,0.0,,,
2006-11-17,33.81,33.81,33.81,33.81,0,0.0,,,
2006-11-20,33.82,33.82,33.82,33.82,0,0.0,,,
2006-11-21,33.89,33.89,33.89,33.89,0,0.0,,,
2006-11-22,33.98,33.98,33.98,33.98,0,0.0,,,
2006-11-24,33.88,33.88,33.88,33.88,0,0.0,,,
2006-11-27,33.37,33.37,33.37,33.37,0,0.0,,,
2006-11-28,33.49,33.49,33.49,33.49,0,0.0,,,
2006-11-29,33.83,33.83,33.83,33.83,0,0.0,,,
2006-11-30,33.88,33.88,33.88,33.88,0,0.0,1.0223295111647557,1.078294080203692,1.0996429730606947
2006-12-01,33.79,33.79,33.79,33.79,0,0.0,1.0283018867924527,1.0699810006333124,1.0819724623759206
2006-12-04,34.12,34.12,34.12,34.12,0,0.0,,,
2006-12-05,34.25,34.25,34.25,34.25,0,0.0,,,
2006-12-06,34.22,34.22,34.22,34.22,0,0.0,,,
2006-12-07,34.08,34.08,34.08,34.08,0,0.0,,,
2006-12-08,34.13,34.13,34.13,34.13,0,0.0,,,
2006-12-11,34.2,34.2,34.2,34.2,0,0.0,,,
2006-12-12,34.13,34.13,34.13,34.13,0,0.0,,,
2006-12-13,34.17,34.17,34.17,34.17,0,0.0,,,
2006-12-14,34.45,34.45,34.45,34.45,0,0.0,,,
2006-12-15,34.48,34.48,34.48,34.48,0,0.0,,,
2006-12-18,34.31,34.31,34.31,34.31,0,0.0,,,
2006-12-19,34.38,34.38,34.38,34.38,0,0.0,,,
2006-12-20,34.35,34.35,34.35,34.35,0,0.0,,,
2006-12-21,34.06,34.06,34.06,34.06,0,0.172,,,
2006-12-22,33.89,33.89,33.89,33.89,0,0.0,,,
2006-12-26,34.05,34.05,34.05,34.05,0,0.0,,,
2006-12-27,34.31,34.31,34.31,34.31,0,0.0,,,
2006-12-28,34.26,34.26,34.26,34.26,0,0.0,,,
2006-12-29,34.09,34.09,34.09,34.09,0,0.0,1.006198347107438,1.0653125,1.1089785296031232
2007-01-03,34.07,34.07,34.07,34.07,0,0.0,1.008286475288547,1.069365976145637,1.0997417688831503
2007-01-04,34.12,34.12,34.12,34.12,0,0.0,,,
2007-01-05,33.87,33.87,33.87,33.87,0,0.0,,,
2007-01-08,33.96,33.96,33.96,33.96,0,0.0,,,
2007-01-09,33.96,33.96,33.96,33.96,0,0.0,,,
2007-01-10,34.04,34.04,34.04,34.04,0,0.0,,,
2007-01-11,34.29,34.29,34.29,34.29,0,0.0,,,
2007-01-12,34.47,34.47,34.47,34.47,0,0.0,,,
2007-01-16,34.49,34.49,34.49,34.49,0,0.0,,,
2007-01-17,34.46,34.46,34.46,34.46,0,0.0,,,
2007-01-18,34.31,34.31,34.31,34.31,0,0.0,,,
2007-01-19,34.44,34.44,34.44,34.44,0,0.0,,,
2007-01-22,34.25,34.25,34.25,34.25,0,0.0,,,
2007-01-23,34.4,34.4,34.4,34.4,0,0.0,,,
2007-01-24,34.7,34.7,34.7,34.7,0,0.0,,,
2007-01-25,34.32,34.32,34.32,34.32,0,0.0,,,
2007-01-26,34.3,34.3,34.3,34.3,0,0.0,,,
2007-01-29,34.31,34.31,34.31,34.31,0,0.0,,,
2007-01-30,34.51,34.51,34.51,34.51,0,0.0,,,
2007-01-31,34.73,34.73,34.73,34.73,0,0.0,1.0187738339689056,1.0479782739891368,1.130901986323673
2007-02-01,34.95,34.95,34.95,34.95,0,0.0,1.0258291752274729,1.063603164942179,1.1447756305273502
2007-02-02,35.01,35.01,35.01,35.01,0,0.0,,,
2007-02-05,34.98,34.98,34.98,34.98,0,0.0,,,
2007-02-06,35.03,35.03,35.03,35.03,0,0.0,,,
2007-02-07,35.12,35.12,35.12,35.12,0,0.0,,,
2007-02-08,35.08,35.08,35.08,35.08,0,0.0,,,
2007-02-09,34.82,34.82,34.82,34.82,0,0.0,,,
2007-02-12,34.7,34.7,34.7,34.7,0,0.0,,,
2007-02-13,34.97,34.97,34.97,34.97,0,0.0,,,
2007-02-14,35.23,35.23,35.23,35.23,0,0.0,,,
2007-02-15,35.27,35.27,35.27,35.27,0,0.0,,,
2007-02-16,35.27,35.27,35.27,35.27,0,0.0,,,
2007-02-20,35.41,35.41,35.41,35.41,0,0.0,,,
2007-02-21,35.38,35.38,35.38,35.38,0,0.0,,,
2007-02-22,35.37,35.37,35.37,35.37,0,0.0,,,
2007-02-23,35.26,35.26,35.26,35.26,0,0.0,,,
2007-02-26,35.21,35.21,35.21,35.21,0,0.0,,,
2007-02-27,34.0,34.0,34.0,34.0,0,0.0,,,
2007-02-28,34.17,34.17,34.17,34.17,0,0.0,0.9838756118629428,1.0085596221959858,1.0875238701464036
2007-03-01,34.09,34.09,34.09,34.09,0,0.0,0.9753934191702432,1.008878366380586,1.0794806839772009
2007-03-02,33.66,33.66,33.66,33.66,0,0.0,,,
2007-03-05,33.27,33.27,33.27,33.27,0,0.0,,,
2007-03-06,33.82,33.82,33.82,33.82,0,0.0,,,
2007-03-07,33.76,33.76,33.76,33.76,0,0.0,,,
2007-03-08,34.0,34.0,34.0,34.0,0,0.0,,,
2007-03-09,34.04,34.04,34.04,34.04,0,0.0,,,
2007-03-12,34.14,34.14,34.14,34.14,0,0.0,,,
2007-03-13,33.45,33.45,33.45,33.45,0,0.0,,,
2007-03-14,33.67,33.67,33.67,33.67,0,0.0,,,
2007-03-15,33.82,33.82,33.82,33.82,0,0.0,,,
2007-03-16,33.69,33.69,33.69,33.69,0,0.0,,,
2007-03-19,34.06,34.06,34.06,34.06,0,0.0,,,
2007-03-20,34.28,34.28,34.28,34.28,0,0.0,,,
2007-03-21,34.86,34.86,34.86,34.86,0,0.0,,,
2007-03-22,34.86,34.86,34.86,34.86,0,0.0,,,
2007-03-23,34.76,34.76,34.76,34.76,0,0.146,,,
2007-03-26,34.78,34.78,34.78,34.78,0,0.0,,,
2007-03-27,34.56,34.56,34.56,34.56,0,0.0,,,
2007-03-28,34.32,34.32,34.32,34.32,0,0.0,,,
2007-03-29,34.43,34.43,34.43,34.43,0,0.0,,,
2007-03-30,34.41,34.41,34.41,34.41,0,0.0,1.0070237050043898,1.0093869169844527,1.0753125
2007-04-02,34.51,34.51,34.51,34.51,0,0.0,1.0123203285420943,1.0129145876137364,1.0831763967357186
2007-04-03,34.83,34.83,34.83,34.83,0,0.0,,,
2007-04-04,34.87,34.87,34.87,34.87,0,0.0,,,
2007-04-05,34.98,34.98,34.98,34.98,0,0.0,,,
2007-04-09,35.0,35.0,35.0,35.0,0,0.0,,,
2007-04-10,35.1,35.1,35.1,35.1,0,0.0,,,
2007-04-11,34.87,34.87,34.87,34.87,0,0.0,,,
2007-04-12,35.09,35.09,35.09,35.09,0,0.0,,,
2007-04-13,35.22,35.22,35.22,35.22,0,0.0,,,
2007-04-16,35.6,35.6,35.6,35.6,0,0.0,,,
2007-04-17,35.65,35.65,35.65,35.65,0,0.0,,,
2007-04-18,35.65,35.65,35.65,35.65,0,0.0,,,
2007-04-19,35.57,35.57,35.57,35.57,0,0.0,,,
2007-04-20,35.9,35.9,35.9,35.9,0,0.0,,,
2007-04-23,35.84,35.84,35.84,35.84,0,0.0,,,
2007-04-24,35.82,35.82,35.82,35.82,0,0.0,,,
2007-04-25,36.16,36.16,36.16,36.16,0,0.0,,,
2007-04-26,36.16,36.16,36.16,36.16,0,0.0,,,
2007-04-27,36.13,36.13,36.13,36.13,0,0.0,,,
2007-04-30,35.8,35.8,35.8,35.8,0,0.0,1.040395233943621,1.0308090987618774,1.0802655401327699
2007-05-01,35.88,35.88,35.88,35.88,0,0.0,1.0396986380759201,1.0266094420600858,1.0919050517346318
2007-05-02,36.17,36.17,36.17,36.17,0,0.0,,,
2007-05-03,36.32,36.32,36.32,36.32,0,0.0,,,
2007-05-04,36.41,36.41,36.41,36.41,0,0.0,,,
2007-05-07,36.48,36.48,36.48,36.48,0,0.0,,,
2007-05-08,36.44,36.44,36.44,36.44,0,0.0,,,
2007-05-09,36.58,36.58,36.58,36.58,0,0.0,,,
2007-05-10,36.07,36.07,36.07,36.07,0,0.0,,,
2007-05-11,36.43,36.43,36.43,36.43,0,0.0,,,
2007-05-14,36.33,36.33,36.33,36.33,0,0.0,,,
2007-05-15,36.25,36.25,36.25,36.25,0,0.0,,,
2007-05-16,36.55,36.55,36.55,36.55,0,0.0,,,
2007-05-17,36.51,36.51,36.51,36.51,0,0.0,,,
2007-05-18,36.76,36.76,36.76,36.76,0,0.0,,,
2007-05-21,36.87,36.87,36.87,36.87,0,0.0,,,
2007-05-22,36.9,36.9,36.9,36.9,0,0.0,,,
2007-05-23,36.84,36.84,36.84,36.84,0,0.0,,,
2007-05-24,36.45,36.45,36.45,36.45,0,0.0,,,
2007-05-25,36.65,36.65,36.65,36.65,0,0.0,,,
2007-05-29,36.76,36.76,36.76,36.76,0,0.0,,,
2007-05-30,37.07,37.07,37.07,37.07,0,0.0,,,
2007-05-31,37.12,37.12,37.12,37.12,0,0.0,1.0368715083798883,1.086333040678958,1.0956316410861864
2007-06-01,37.27,37.27,37.27,37.27,0,0.0,1.0387402452619845,1.093282487533001,1.1029890500147974
2007-06-04,37.35,37.35,37.35,37.35,0,0.0,,,
2007-06-05,37.15,37.15,37.15,37.15,0,0.0,,,
2007-06-06,36.81,36.81,36.81,36.81,0,0.0,,,
2007-06-07,36.15,36.15,36.15,36.15,0,0.0,,,
2007-06-08,36.55,36.55,36.55,36.55,0,0.0,,,
2007-06-11,36.58,36.58,36.58,36.58,0,0.0,,,
2007-06-12,36.19,36.19,36.19,36.19,0,0.0,,,
2007-06-13,36.72,36.72,36.72,36.72,0,0.0,,,
2007-06-14,36.91,36.91,36.91,36.91,0,0.0,,,
2007-06-15,37.17,37.17,37.17,37.17,0,0.0,,,
2007-06-18,37.12,37.12,37.12,37.12,0,0.0,,,
2007-06-19,37.19,37.19,37.19,37.19,0,0.0,,,
2007-06-20,36.7,36.7,36.7,36.7,0,0.0,,,
2007-06-21,36.92,36.92,36.92,36.92,0,0.0,,,
2007-06-22,36.35,36.35,36.35,36.35,0,0.138,,,
2007-06-25,36.19,36.19,36.19,36.19,0,0.0,,,
2007-06-26,36.07,36.07,36.07,36.07,0,0.0,,,
2007-06-27,36.43,36.43,36.43,36.43,0,0.0,,,
2007-06-28,36.43,36.43,36.43,36.43,0,0.0,,,
2007-06-29,36.36,36.36,36.36,36.36,0,0.0,0.9795258620689655,1.056669572798605,1.0665884423584628
2007-07-02,36.77,36.77,36.77,36.77,0,0.0,0.9865843842232358,1.0654882642712258,1.0792486058115645
2007-07-03,36.9,36.9,36.9,36.9,0,0.0,,,
2007-07-05,36.94,36.94,36.94,36.94,0,0.0,,,
2007-07-06,37.08,37.08,37.08,37.08,0,0.0,,,
2007-07-09,37.12,37.12,37.12,37.12,0,0.0,,,
2007-07-10,36.58,36.58,36.58,36.58,0,0.0,,,
2007-07-11,36.78,36.78,36.78,36.78,0,0.0,,,
2007-07-12,37.45,37.45,37.45,37.45,0,0.0,,,
2007-07-13,37.57,37.57,37.57,37.57,0,0.0,,,
2007-07-16,37.46,37.46,37.46,37.46,0,0.0,,,
2007-07-17,37.46,37.46,37.46,37.46,0,0.0,,,
2007-07-18,37.38,37.38,37.38,37.38,0,0.0,,,
2007-07-19,37.56,37.56,37.56,37.56,0,0.0,,,
2007-07-20,37.11,37.11,37.11,37.11,0,0.0,,,
2007-07-23,37.24,37.24,37.24,37.24,0,0.0,,,
2007-07-24,36.48,36.48,36.48,36.48,0,0.0,,,
2007-07-25,36.61,36.61,36.61,36.61,0,0.0,,,
2007-07-26,35.75,35.75,35.75,35.75,0,0.0,,,
2007-07-27,35.2,35.2,35.2,35.2,0,0.0,,,
2007-07-30,35.55,35.55,35.55,35.55,0,0.0,,,
2007-07-31,35.13,35.13,35.13,35.13,0,0.0,0.9661716171617163,0.9812849162011175,1.0115174200978982
2007-08-01,35.33,35.33,35.33,35.33,0,0.0,0.9608376393799292,0.9846711259754737,1.0108726752503576
2007-08-02,35.52,35.52,35.52,35.52,0,0.0,,,
2007-08-03,34.57,34.57,34.57,34.57,0,0.0,,,
2007-08-06,35.29,35.29,35.29,35.29,0,0.0,,,
2007-08-07,35.53,35.53,35.53,35.53,0,0.0,,,
2007-08-08,36.07,36.07,36.07,36.07,0,0.0,,,
2007-08-09,35.08,35.08,35.08,35.08,0,0.0,,,
2007-08-10,35.1,35.1,35.1,35.1,0,0.0,,,
2007-08-13,35.08,35.08,35.08,35.08,0,0.0,,,
2007-08-14,34.44,34.44,34.44,34.44,0,0.0,,,
2007-08-15,33.94,33.94,33.94,33.94,0,0.0,,,
2007-08-16,34.05,34.05,34.05,34.05,0,0.0,,,
2007-08-17,34.87,34.87,34.87,34.87,0,0.0,,,
2007-08-20,34.9,34.9,34.9,34.9,0,0.0,,,
2007-08-21,34.95,34.95,34.95,34.95,0,0.0,,,
2007-08-22,35.38,35.38,35.38,35.38,0,0.0,,,
2007-08-23,35.31,35.31,35.31,35.31,0,0.0,,,
2007-08-24,35.73,35.73,35.73,35.73,0,0.0,,,
2007-08-27,35.42,35.42,35.42,35.42,0,0.0,,,
2007-08-28,34.59,34.59,34.59,34.59,0,0.0,,,
2007-08-29,35.36,35.36,35.36,35.36,0,0.0,,,
2007-08-30,35.22,35.22,35.22,35.22,0,0.0,,,
2007-08-31,35.64,35.64,35.64,35.64,0,0.0,1.0145175064047822,0.9601293103448276,1.0430201931518877
2007-09-04,36.02,36.02,36.02,36.02,0,0.0,1.019530144353241,0.9664609605580896,1.0566148430624815
2007-09-05,35.64,35.64,35.64,35.64,0,0.0,,,
2007-09-06,35.79,35.79,35.79,35.79,0,0.0,,,
2007-09-07,35.18,35.18,35.18,35.18,0,0.0,,,
2007-09-10,35.1,35.1,35.1,35.1,0,0.0,,,
2007-09-11,35.57,35.57,35.57,35.57,0,0.0,,,
2007-09-12,35.57,35.57,35.57,35.57,0,0.0,,,
2007-09-13,35.83,35.83,35.83,35.83,0,0.0,,,
2007-09-14,35.87,35.87,35.87,35.87,0,0.0,,,
2007-09-17,35.66,35.66,35.66,35.66,0,0.0,,,
2007-09-18,36.71,36.71,36.71,36.71,0,0.0,,,
2007-09-19,36.95,36.95,36.95,36.95,0,0.0,,,
2007-09-20,36.72,36.72,36.72,36.72,0,0.0,,,
2007-09-21,36.72,36.72,36.72,36.72,0,0.157,,,
2007-09-24,36.52,36.52,36.52,36.52,0,0.0,,,
2007-09-25,36.5,36.5,36.5,36.5,0,0.0,,,
2007-09-26,36.72,36.72,36.72,36.72,0,0.0,,,
2007-09-27,36.89,36.89,36.89,36.89,0,0.0,,,
2007-09-28,36.77,36.77,36.77,36.77,0,0.0,1.0317059483726152,1.0112761276127613,1.0685847137460043
2007-10-01,37.28,37.28,37.28,37.28,0,0.0,1.0349805663520266,1.0138700027196084,1.0802665893943786
2007-10-02,37.31,37.31,37.31,37.31,0,0.0,,,
2007-10-03,37.14,37.14,37.14,37.14,0,0.0,,,
2007-10-04,37.22,37.22,37.22,37.22,0,0.0,,,
2007-10-05,37.63,37.63,37.63,37.63,0,0.0,,,
2007-10-08,37.5,37.5,37.5,37.5,0,0.0,,,
2007-10-09,37.8,37.8,37.8,37.8,0,0.0,,,
2007-10-10,37.76,37.76,37.76,37.76,0,0.0,,,
2007-10-11,37.54,37.54,37.54,37.54,0,0.0,,,
2007-10-12,37.73,37.73,37.73,37.73,0,0.0,,,
2007-10-15,37.41,37.41,37.41,37.41,0,0.0,,,
2007-10-16,37.16,37.16,37.16,37.16,0,0.0,,,
2007-10-17,37.22,37.22,37.22,37.22,0,0.0,,,
2007-10-18,37.2,37.2,37.2,37.2,0,0.0,,,
2007-10-19,36.25,36.25,36.25,36.25,0,0.0,,,
2007-10-22,36.42,36.42,36.42,36.42,0,0.0,,,
2007-10-23,36.75,36.75,36.75,36.75,0,0.0,,,
2007-10-24,36.64,36.64,36.64,36.64,0,0.0,,,
2007-10-25,36.58,36.58,36.58,36.58,0,0.0,,,
2007-10-26,37.08,37.08,37.08,37.08,0,0.0,,,
2007-10-29,37.22,37.22,37.22,37.22,0,0.0,,,
2007-10-30,36.98,36.98,36.98,36.98,0,0.0,,,
2007-10-31,37.44,37.44,37.44,37.44,0,0.0,1.0182213761218384,1.0657557643040134,1.0458100558659218
2007-11-01,36.46,36.46,36.46,36.46,0,0.0,0.9780042918454935,1.0319841494480613,1.016164994425864
2007-11-02,36.49,36.49,36.49,36.49,0,0.0,,,
2007-11-05,36.28,36.28,36.28,36.28,0,0.0,,,
2007-11-06,36.72,36.72,36.72,36.72,0,0.0,,,
2007-11-07,35.69,35.69,35.69,35.69,0,0.0,,,
2007-11-08,35.7,35.7,35.7,35.7,0,0.0,,,
2007-11-09,35.19,35.19,35.19,35.19,0,0.0,,,
2007-11-12,34.81,34.81,34.81,34.81,0,0.0,,,
2007-11-13,35.8,35.8,35.8,35.8,0,0.0,,,
2007-11-14,35.54,35.54,35.54,35.54,0,0.0,,,
2007-11-15,35.11,35.11,35.11,35.11,0,0.0,,,
2007-11-16,35.26,35.26,35.26,35.26,0,0.0,,,
2007-11-19,34.63,34.63,34.63,34.63,0,0.0,,,
2007-11-20,34.74,34.74,34.74,34.74,0,0.0,,,
2007-11-21,34.23,34.23,34.23,34.23,0,0.0,,,
2007-11-23,34.79,34.79,34.79,34.79,0,0.0,,,
2007-11-26,34.02,34.02,34.02,34.02,0,0.0,,,
2007-11-27,34.49,34.49,34.49,34.49,0,0.0,,,
2007-11-28,35.5,35.5,35.5,35.5,0,0.0,,,
2007-11-29,35.51,35.51,35.51,35.51,0,0.0,,,
2007-11-30,35.77,35.77,35.77,35.77,0,0.0,0.9553952991452993,1.0036475869809205,0.9636314655172415
2007-12-03,35.56,35.56,35.56,35.56,0,0.0,0.9753154141524959,0.9872293170460855,0.9541185940434666
2007-12-04,35.33,35.33,35.33,35.33,0,0.0,,,
2007-12-05,35.86,35.86,35.86,35.86,0,0.0,,,
2007-12-06,36.45,36.45,36.45,36.45,0,0.0,,,
2007-12-07,36.41,36.41,36.41,36.41,0,0.0,,,
2007-12-10,36.69,36.69,36.69,36.69,0,0.0,,,
2007-12-11,35.74,35.74,35.74,35.74,0,0.0,,,
2007-12-12,35.94,35.94,35.94,35.94,0,0.0,,,
2007-12-13,35.97,35.97,35.97,35.97,0,0.0,,,
2007-12-14,35.46,35.46,35.46,35.46,0,0.0,,,
2007-12-17,34.9,34.9,34.9,34.9,0,0.0,,,
2007-12-18,35.14,35.14,35.14,35.14,0,0.0,,,
